source_id	original_filename	source_sha256	unit_type	unit	text_sha256	render_sha256	text_chars	semantic_disposition	visual_evidence_status
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	1	71cc5a16e28478cb37943ef0d2d3bb245720296f55029c3f6a1d66fa433f6a2f	22687bad5e793da865995b5e678c0434bb1f5de3a2a6f9308645a2491a65dc2d	26	CONTEXT_ORIENTATION	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	2	9e1e7324af7ffdd90f705c906d8de3b5a7ff79049c9ab3fa74b98a7743ebe174	4b5ab296d75dd9f82c7782c7f6403bde1637571a1fd34cffd0de5c764dd84906	64	CONTEXT_ORIENTATION	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	3	f2da7474cc21f76f5cc069039c49b2d9ec9f145bd3c78c820efaf0ce9e4bcb9a	c7d54e575b0ee9a0bf756886da94194e44751c258f50ff0f2c26ee4230fc5ab1	124	CONTEXT_ORIENTATION	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	4	58241d8e529297bdef46ae588f6d2c9c8fad133dc6bb61178f306e15afd24336	0f74c0b68641331d46d09a551abc8af7a79de9ad4938a63189f1f93c2ce20700	83	TARGET_SETTING_MENTAL_MODEL	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	5	3d6bfd0e50d48ebd00e916606be20a77df50126af22b8e117b813a5f1be2c09e	acaa652bdceef9ba44d66b8ae8acda82d355f00c1472ca6da62683a2ac9ba505	211	TARGET_SETTING_MENTAL_MODEL	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	6	b79515eca1e1cc624464905c1b882d7ff822a843138863879dd16ff31b924a54	1f768895a22e280d70ea5e491396d8bb06916d421ad386bbc97892601bc34e75	255	TARGET_SETTING_MENTAL_MODEL	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	7	441f2367a6f5781a66f025d10433683ee7d0f0e1bfbbb6028c25fb751bd4a032	53c9cf56e407c27def48a727e785d3753c732c0794f85c2b7bb87ca6c4d2be9f	76	TARGET_SETTING_MENTAL_MODEL	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	8	fcb731a28aa6c67a1a82684958c4cc232dee445ee4084158953a21f2d509e71a	dc94f6ff9497a6899c7a799b7a7ff093f35257e58fe8dfdd0f1766325d16e206	183	TARGET_SETTING_MENTAL_MODEL	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	9	93415dfca8c5fab93adc703bb54f045c475b935c309df5d09c26df5d03fdeb48	069179d6f91d0af455ff48a313999c2a0e25c37360ca99ccfce4cba2bed83f76	91	CONTENT_MAP	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
WD-SRC-027	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	SLIDE	10	c5757bc33c773ccf0479fd6207b13d1fbaf4d369ba241720577a4d593542c56a	f41d52b22d06928074c3e75ce52d12696b546c4442d046f44f2a8e0186627ce4	61	TARGET_DEPLOYMENT	RENDER_AVAILABLE;CRITICAL_VISUALS_MANUALLY_INSPECTED
