family	relative_path	filename	extension	bytes	sha256	input_type	privacy_class	pii_risk
BUSINESS_MEMORY	1. D-READY_Dealer_View_Template_V8_Lightweight_Fixed (Ada Master Data jg di dalam nya).xlsx	1. D-READY_Dealer_View_Template_V8_Lightweight_Fixed (Ada Master Data jg di dalam nya).xlsx	xlsx	3122735	7291c9f20bae43bf3002882a9044ad39be7c1d7caac4c1c3b9fbff9dd17d0212	CURRENT_BUSINESS_DATA	PRIVATE_SENSITIVE	MEDIUM
BUSINESS_MEMORY	MAPPING RING 2022/Peta Batanghari.xlsx	Peta Batanghari.xlsx	xlsx	8753176	dfdab4ff844183d8ca843681da4056ee3938625c1076cc9d2c2b5b54fa62272d	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta Bungo.xlsx	Peta Bungo.xlsx	xlsx	10148348	66329a592a3c1d023f114c82fe47a3ce814221d134809233178c8fb300aaf4d7	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta Kota Jambi.xlsx	Peta Kota Jambi.xlsx	xlsx	1384236	ba209c6ea64663b74d6d37e83048601680e1adb11382bd5083d463c6102e25b6	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta Merangin.xlsx	Peta Merangin.xlsx	xlsx	9846394	980a4c294b6930a71f3ad1a7b5f6803af3f212b06b5fc6f87eeb4608d3bfe095	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta Muaro Jambi.xlsx	Peta Muaro Jambi.xlsx	xlsx	12064810	bfc8e6596414f15b1a38d8c2f7465fd063f544400d2ca5d7e65e80ff2d62a5fe	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta Sarolangun.xlsx	Peta Sarolangun.xlsx	xlsx	8072965	f7d08fde979030087a49e8cb6d395ab0fcbae0f15bf9a5767bfde32bf5a84127	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta TJB.xlsx	Peta TJB.xlsx	xlsx	8053929	d792e7d3386b7b2b36525775970df00fa08a3dfdebf1567da86e97b44f3157b8	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta TJT.xlsx	Peta TJT.xlsx	xlsx	3173627	c7e339c643e8e4d749ebfeea3ce0344493d9a15d6c944439a9ab92873e689e85	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
BUSINESS_MEMORY	MAPPING RING 2022/Peta Tebo.xlsx	Peta Tebo.xlsx	xlsx	8840624	034aeb3340eb2369a191fc650bf27387aa034272a564a2f12cc4cf8328909bf3	HISTORICAL_CONTEXT	PRIVATE_SENSITIVE	LOW
