candidate_file	target_path	action	privacy_class	sha256
PUBLIC_ASB_CANDIDATE/wiki/workdesk/BASELINE_SCOPE.md	wiki/workdesk/BASELINE_SCOPE.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	771f7139a43566022ccc9885362c580cb7a3ae14e86f70577798dac52eac3bb3
PUBLIC_ASB_CANDIDATE/wiki/workdesk/CURRENTNESS_MODEL.md	wiki/workdesk/CURRENTNESS_MODEL.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	8b7f36343cb5af3523a3ced3bc2dbe33779c19397abff1e293d6deb1464f8361
PUBLIC_ASB_CANDIDATE/wiki/workdesk/CURRENT_PROPOSED.md	wiki/workdesk/CURRENT_PROPOSED.md	NO_DIRECT_IMPORT_STATUS_TEMPLATE_ONLY	PUBLIC_SAFE_CANDIDATE	4a6982e551a274f3f481909735373b72f3999005be0ec0beec32284f9e45e34d
PUBLIC_ASB_CANDIDATE/wiki/workdesk/HOME.md	wiki/workdesk/HOME.md	MERGE_KEEP_HUMAN_UX	PUBLIC_SAFE_CANDIDATE	3aced3db1fbeb50c9727d503f74f3a8f6c1e2fd1404b14596c174eea726512c6
PUBLIC_ASB_CANDIDATE/wiki/workdesk/KNOWLEDGE_MAP_V1.md	wiki/workdesk/KNOWLEDGE_MAP_V1.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	d3684383aa92dc3696513d5c579f02a119fa8bfac88e465bf8961e93163a5ae2
PUBLIC_ASB_CANDIDATE/wiki/workdesk/PRIVATE_SIDECAR_CONTRACT.md	wiki/workdesk/PRIVATE_SIDECAR_CONTRACT.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	70b8b525eba9c85149d4d195662daf1fb95a23cac61511a9847e2376b70fc2e0
PUBLIC_ASB_CANDIDATE/wiki/workdesk/RESPONSE_PLANE_CONTRACT.md	wiki/workdesk/RESPONSE_PLANE_CONTRACT.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	ae03bb67ea84f6a3ae800555bb1c4b12ab0942d6c6127f0a8d48d12d112d2c93
PUBLIC_ASB_CANDIDATE/wiki/workdesk/TASK_ROUTER.md	wiki/workdesk/TASK_ROUTER.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	9e438a1351e53fb759ab3a79f7bf966f399c318e6cb8b37e337f1f45077c84c9
PUBLIC_ASB_CANDIDATE/wiki/workdesk/deliverables/PICA.md	wiki/workdesk/deliverables/PICA.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	ea42469168eeadb1e68507c2e615a2ba6287ee3e75e2d161f633ff03720ad01d
PUBLIC_ASB_CANDIDATE/wiki/workdesk/domains/pricing-financing/COMMERCIAL_PROGRAM_INTELLIGENCE.md	wiki/workdesk/domains/pricing-financing/COMMERCIAL_PROGRAM_INTELLIGENCE.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	e5ff7a0a029fcd1da69e783785a0b5b52853df71c2838c5edc07593288db7d07
PUBLIC_ASB_CANDIDATE/wiki/workdesk/domains/problem-solving/SUPERVISORY_MONITORING_TO_CORRECTIVE_ACTION.md	wiki/workdesk/domains/problem-solving/SUPERVISORY_MONITORING_TO_CORRECTIVE_ACTION.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	5a37651b50d0191b8c9e2295250cc84329204f2ef3db8e3612cbf789c3a8b42c
PUBLIC_ASB_CANDIDATE/wiki/workdesk/learn/PDCA.md	wiki/workdesk/learn/PDCA.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	fe188d124bc5dd27da6e2a4e67679a7dc2e201747e7b56b1e9672c66c4edbd25
PUBLIC_ASB_CANDIDATE/wiki/workdesk/learn/PICA.md	wiki/workdesk/learn/PICA.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	ca1e984fefc745814afb39790daded0f81f089ec32509240db0cf3d6629631ec
PUBLIC_ASB_CANDIDATE/wiki/workdesk/learn/PRICING_FID_BA.md	wiki/workdesk/learn/PRICING_FID_BA.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	4fb8a04e20e3c8068001130f230c7b25d19757a45d346f88ef5a0213aa0a6064
PUBLIC_ASB_CANDIDATE/wiki/workdesk/learn/SALES_STOCK_MONITORING.md	wiki/workdesk/learn/SALES_STOCK_MONITORING.md	CREATE_OR_RECONCILE	PUBLIC_SAFE_CANDIDATE	820511209f1320a3c8dc598b5f678e0a14f59e5f7d627a9494646af90aa0d3c4
